%Recollect Version 2.3; iPad: ; User: RLB100;
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,0,8,1,1,0,algoNotBayesian
32,4,0,8,0.3333333,2,2,algoNotBayesian
32,4,0,8,1,1,2,algoNotBayesian
32,4,0,8,1,2,2,algoNotBayesian
32,4,0,8,1,3,3,algoNotBayesian
32,4,0,8,0.2857143,4,4,algoNotBayesian
32,4,0,8,1,3,4,algoNotBayesian
32,4,0,8,0.5384616,4,4,algoNotBayesian
32,4,0,8,0.4166667,5,5,algoNotBayesian
32,4,0,8,0.6666667,4,5,algoNotBayesian
32,4,0,8,0.2,5,5,algoNotBayesian
32,4,0,8,0.25,4,5,algoNotBayesian
32,4,0,8,1,3,5,algoNotBayesian
32,4,0,8,0.1666667,4,5,algoNotBayesian
32,4,0,8,0,3,5,algoNotBayesian
32,4,0,8,0.6666667,2,5,algoNotBayesian
32,4,0,8,0.25,3,5,algoNotBayesian
32,4,0,8,1,2,5,algoNotBayesian
32,4,0,8,0.625,3,5,algoNotBayesian
32,4,0,8,1,4,5,algoNotBayesian
32,4,0,8,1,5,5,algoNotBayesian
32,4,0,8,0,6,6,algoNotBayesian
32,4,0,8,0.2857143,5,6,algoNotBayesian
32,4,0,8,0.2222222,4,6,algoNotBayesian
32,4,0,8,0,3,6,algoNotBayesian
32,4,0,8,0,2,6,algoNotBayesian
32,4,1,0,0.7142857,2,6,algoNotBayesian
32,4,1,0,0.6363636,3,6,algoNotBayesian
32,4,1,0,0.2,4,6,algoNotBayesian
32,4,1,0,0.25,3,6,algoNotBayesian
32,4,1,0,0.8,2,6,algoNotBayesian
32,4,1,0,0.75,3,6,algoNotBayesian
32,4,1,0,0,4,6,algoNotBayesian
32,4,1,0,0.4,3,6,algoNotBayesian
32,4,1,0,0,2,6,algoNotBayesian
32,4,1,0,1,2,6,algoNotBayesian
32,4,1,0,0.7777778,3,6,algoNotBayesian
32,4,1,0,0.75,4,6,algoNotBayesian
32,4,1,0,0.2,5,6,algoNotBayesian
32,4,1,0,0,4,6,algoNotBayesian
32,4,1,0,0.6666667,3,6,algoNotBayesian
32,4,1,0,0,4,6,algoNotBayesian
32,4,1,0,1,3,6,algoNotBayesian
32,4,1,0,0.375,4,6,algoNotBayesian
32,4,1,0,0.3333333,3,6,algoNotBayesian
32,4,1,0,0.75,2,6,algoNotBayesian
32,4,1,0,0.25,3,6,algoNotBayesian
32,4,1,0,0.3,2,6,algoNotBayesian
32,4,1,0,0,2,6,algoNotBayesian
32,4,1,0,1,2,6,algoNotBayesian
32,4,1,0,0.625,3,6,algoNotBayesian
32,4,1,0,0.625,4,6,algoNotBayesian
