%Recollect Version 2.3; iPad: ; User: RLB149; Session: 18
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,2,18,0,1,3,5,algoNotBayesian
32,2,18,0,1,4,5,algoNotBayesian
32,2,18,0,0.3333333,5,5,algoNotBayesian
32,2,18,0,0.8333333,4,5,algoNotBayesian
32,2,18,0,0.7142857,4,5,algoNotBayesian
32,2,18,0,0.7142857,4,5,algoNotBayesian
32,2,18,0,0.8333333,4,5,algoNotBayesian
32,2,18,0,1,4,5,algoNotBayesian
32,2,18,0,0.2727273,5,5,algoNotBayesian
32,2,18,0,1,4,5,algoNotBayesian
32,2,18,0,0.5,5,5,algoNotBayesian
32,2,18,0,1,4,5,algoNotBayesian
32,2,18,0,0.3333333,5,5,algoNotBayesian
32,2,18,0,0.3333333,4,5,algoNotBayesian
32,2,18,0,0.5,3,5,algoNotBayesian
32,2,18,0,0.3333333,2,5,algoNotBayesian
32,2,19,0,1,2,5,algoNotBayesian
32,2,19,0,0.3076923,3,5,algoNotBayesian
32,2,19,0,0.4444444,2,5,algoNotBayesian
32,2,19,0,0.4285714,2,5,algoNotBayesian
32,2,19,0,0,2,5,algoNotBayesian
32,2,19,0,0.3333333,2,5,algoNotBayesian
32,2,19,0,0,2,5,algoNotBayesian
32,2,19,0,0.1666667,2,5,algoNotBayesian
32,2,19,0,0,2,5,algoNotBayesian
32,2,19,0,0.1666667,2,5,algoNotBayesian
32,2,19,0,0.5714286,2,5,algoNotBayesian
32,2,19,0,0.3333333,2,5,algoNotBayesian
32,2,19,0,0.1666667,2,5,algoNotBayesian
32,2,19,0,0,2,5,algoNotBayesian
32,2,19,0,1,2,5,algoNotBayesian
32,2,19,0,0.3333333,3,5,algoNotBayesian
32,2,19,0,0.8333333,2,5,algoNotBayesian
