%Recollect Version 2.3; iPad: ; User: RLB149; Session: 4
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,2,4,0,1,3,4,algoNotBayesian
32,2,4,0,0.375,4,4,algoNotBayesian
32,2,4,0,1,3,4,algoNotBayesian
32,2,4,0,0.8571429,4,4,algoNotBayesian
32,2,4,0,0.4444444,4,4,algoNotBayesian
32,2,4,0,1,3,4,algoNotBayesian
32,2,4,0,0.5555556,4,4,algoNotBayesian
32,2,4,0,1,3,4,algoNotBayesian
32,2,4,0,0.5,4,4,algoNotBayesian
32,2,4,0,0.25,4,4,algoNotBayesian
32,2,4,0,0.8571429,3,4,algoNotBayesian
32,2,4,0,1,3,4,algoNotBayesian
32,2,4,0,0.625,4,4,algoNotBayesian
32,2,4,0,0.5,4,4,algoNotBayesian
32,2,4,0,0.6666667,3,4,algoNotBayesian
32,2,4,0,0.8333333,3,4,algoNotBayesian
32,2,4,0,0.8333333,3,4,algoNotBayesian
32,2,5,0,1,2,4,algoNotBayesian
32,2,5,0,0.625,3,4,algoNotBayesian
32,2,5,0,0.8571429,3,4,algoNotBayesian
32,2,5,0,1,3,4,algoNotBayesian
32,2,5,0,0.5714286,4,4,algoNotBayesian
32,2,5,0,0.5555556,4,4,algoNotBayesian
32,2,5,0,0.8571429,3,4,algoNotBayesian
32,2,5,0,1,3,4,algoNotBayesian
32,2,5,0,0.5,4,4,algoNotBayesian
32,2,5,0,0.75,3,4,algoNotBayesian
32,2,5,0,0.8571429,3,4,algoNotBayesian
32,2,5,0,1,3,4,algoNotBayesian
32,2,5,0,0.5555556,4,4,algoNotBayesian
32,2,5,0,0.625,3,4,algoNotBayesian
32,2,5,0,1,3,4,algoNotBayesian
32,2,5,0,0.6666667,4,4,algoNotBayesian
32,2,5,0,0.5,4,4,algoNotBayesian
