%Recollect Version 2.3; iPad: ; User: RLB103; Session: 22
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,22,0,1,2,6,algoNotBayesian
32,4,22,0,1,3,6,algoNotBayesian
32,4,22,0,0.1666667,4,6,algoNotBayesian
32,4,22,0,0.3333333,3,6,algoNotBayesian
32,4,22,0,0.8,2,6,algoNotBayesian
32,4,22,0,0.3333333,3,6,algoNotBayesian
32,4,22,0,1,2,6,algoNotBayesian
32,4,22,0,0.6666667,3,6,algoNotBayesian
32,4,22,0,0,4,6,algoNotBayesian
32,4,22,0,1,3,6,algoNotBayesian
32,4,22,0,0,4,6,algoNotBayesian
32,4,22,0,0.3636364,3,6,algoNotBayesian
32,4,22,0,0.8,2,6,algoNotBayesian
32,4,22,0,0.6,3,6,algoNotBayesian
32,4,22,0,0,4,6,algoNotBayesian
32,4,22,0,0.4285714,3,6,algoNotBayesian
32,4,22,0,1,2,6,algoNotBayesian
32,4,22,0,0.75,3,6,algoNotBayesian
32,4,22,0,0.2857143,4,6,algoNotBayesian
32,4,22,0,0.3333333,3,6,algoNotBayesian
32,4,22,0,0.8,2,6,algoNotBayesian
32,4,23,0,1,2,6,algoNotBayesian
32,4,23,0,0.6666667,3,6,algoNotBayesian
32,4,23,0,0.3,4,6,algoNotBayesian
32,4,23,0,0,3,6,algoNotBayesian
32,4,23,0,0.8,2,6,algoNotBayesian
32,4,23,0,0.6666667,3,6,algoNotBayesian
32,4,23,0,0,4,6,algoNotBayesian
32,4,23,0,0,3,6,algoNotBayesian
32,4,23,0,0.75,2,6,algoNotBayesian
32,4,23,0,0,3,6,algoNotBayesian
32,4,23,0,1,2,6,algoNotBayesian
32,4,23,0,0.4,3,6,algoNotBayesian
32,4,23,0,0,2,6,algoNotBayesian
32,4,23,0,0.3333333,2,6,algoNotBayesian
32,4,23,0,0.6,2,6,algoNotBayesian
32,4,23,0,1,2,6,algoNotBayesian
32,4,23,0,0.1666667,3,6,algoNotBayesian
32,4,23,0,1,2,6,algoNotBayesian
32,4,23,0,0.3333333,3,6,algoNotBayesian
32,4,23,0,1,2,6,algoNotBayesian
32,4,23,0,0.625,3,6,algoNotBayesian
32,4,23,0,0.5,4,6,algoNotBayesian
32,4,23,0,0.4,5,6,algoNotBayesian
