%Recollect Version 2.3; iPad: ; User: RLB149; Session: 12
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,2,12,0,0.75,3,5,algoNotBayesian
32,2,12,0,0.8571429,3,5,algoNotBayesian
32,2,12,0,0.7142857,3,5,algoNotBayesian
32,2,12,0,0.4444444,3,5,algoNotBayesian
32,2,12,0,0.7142857,2,5,algoNotBayesian
32,2,12,0,1,2,5,algoNotBayesian
32,2,12,0,1,3,5,algoNotBayesian
32,2,12,0,0.7142857,4,5,algoNotBayesian
32,2,12,0,0.5714286,4,5,algoNotBayesian
32,2,12,0,0.8333333,4,5,algoNotBayesian
32,2,12,0,0.7142857,4,5,algoNotBayesian
32,2,12,0,0.7142857,4,5,algoNotBayesian
32,2,12,0,1,4,5,algoNotBayesian
32,2,12,0,0.4444444,5,5,algoNotBayesian
32,2,12,0,0.4444444,4,5,algoNotBayesian
32,2,12,0,1,3,5,algoNotBayesian
32,2,12,0,0.8333333,4,5,algoNotBayesian
32,2,13,0,0,3,5,algoNotBayesian
32,2,13,0,0.6666667,2,5,algoNotBayesian
32,2,13,0,0,2,5,algoNotBayesian
32,2,13,0,0.1428571,2,5,algoNotBayesian
32,2,13,0,0.1666667,2,5,algoNotBayesian
32,2,13,0,0,2,5,algoNotBayesian
32,2,13,0,0.3333333,2,5,algoNotBayesian
32,2,13,0,0,2,5,algoNotBayesian
32,2,13,0,0.1666667,2,5,algoNotBayesian
32,2,13,0,0,2,5,algoNotBayesian
32,2,13,0,0.4285714,2,5,algoNotBayesian
32,2,13,0,0.3333333,2,5,algoNotBayesian
32,2,13,0,0.2857143,2,5,algoNotBayesian
32,2,13,0,0.3333333,2,5,algoNotBayesian
32,2,13,0,0.8333333,2,5,algoNotBayesian
32,2,13,0,1,2,5,algoNotBayesian
