% Tunnel Log: 
% debug seed: 1416607539
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Color/Sound, 1=Shape/Sound, 2=Sound, 3=Holdout, 4=Recess }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1, inf }
% Pod Shape { -1, inf }
% Pod Sound { -1, inf }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 34199 0 10 40 25 60 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 34366 0 10 40 25 60 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 34566 0 10 40 25 40.5555 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 34933 0 10 40 25 25 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 35333 0 10 40 25 25 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 35733 0 10 40 25 25 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 0 0 0 5 -1 -1 -1 -1 -1 -1 -1 36133 0 10 40 25 25 3 1 3
0 0 0 0 1 2 1 0 0 0 2 3 -5 -1 0 5 -1 -1 -1 -1 -1 -1 -1 36533 0 10 40 25 25 3 1 3
0 0 0 0 2 1 1 0 0 0 2 3 315 0 0 4 -1 -1 -1 -1 -1 -1 -1 36933 0 10 40 25 25 2 2 3
0 0 0 0 2 1 1 0 0 0 2 3 315 0 0 4 -1 -1 -1 -1 -1 -1 -1 37333 0 10 40 25 25 2 2 3
0 0 0 0 4 1 1 0 0 0 2 3 315 0 0 4 4 5 5 0 0 1 0 37733 0 10 40 25 25 2 2 3
0 0 0 0 2 1 1 0 0 0 2 3 315 0 0 4 -1 -1 -1 -1 -1 -1 -1 38133 0 10 40 25 25 2 2 3
0 0 0 0 2 1 1 0 0 0 2 3 315 0 0 4 -1 -1 -1 -1 -1 -1 -1 38533 0 10 40 25 25 0 0 3
0 0 0 0 2 1 1 0 0 0 2 3 315 0 0 4 -1 -1 -1 -1 -1 -1 -1 38933 0 10 40 25 25 0 0 3
